NAME,URL,SECTOR,TWITTER,DATA SOURCE
Simteractive,http://www.simteractive.com,Entertainment & Publishing,@simteractive,"Bank of Ireland, IVCA, Trinity Research & Innovation"
Simulty,http://www.simulty.com,Enterprise,@Simulty,"Bank of Ireland, IVCA, GEC"
Siteshare,www.siteshare.ie,Enterprise,,DIT Hothouse
SiteSpy,http://www.sitespysolutions.com,Hardware & IoT,,"Launchbox, Trinity College Dublin"
SixMinute Games,http://www.sixminute.com/,Entertainment & Publishing,@SixMinuteTweets,
Skmmp,http://skmmp.com/,Entertainment & Publishing,,"DCU Ryan Academy, DIT Hothouse"
Skramblr Communications,http://Skramblr.com,Security & Encryption,@theskramblr,"Bank of Ireland, IVCA"
Skylads,http://skylads.com,Advertising & Marketing,@skylads,"Web Summit, Digital Hub"
Skynet Labs,http://www.skynetlabs.com,Enterprise,@Skynetlabs1,"AIB, Bank of Ireland, IVCA, Dublin BIC"
SkyTango,http://skytango.com/,eCommerce,@skytangoteam,
Slainte Healthcare,http://www.slaintehealthcare.com/,Enterprise,@SlainteHealth,AIB
SlidePath,http://us-demo.slidepath.com/,Enterprise,,"Invent DCU, Accenture"
Smart Bins,www.smartbin.com,Environment (green/clean),,DCU Innovation
Smart Hygiene,http://www.smarthygiene.ie,MedTech,@SmartHygiene,"Dublin BIC, LEO"
SmartCloud,http://www.smartcloud.ie/,Enterprise,,
SmartPower,http://www.smartpower.ie,Environment (green/clean),,"Bank of Ireland, IVCA"
Smartsplint,http://selfsensEIe/,Hardware & IoT,,AIB
SmashQuiz Football,http://www.smashquiz.com/,Social Media,smashquizfoot,Web Summit
Snapta,http://snapta.lk,Telecommunications & Networking,,"Bank of Ireland, IVCA, NDRC"
Sneaky Vegetables,http://sneakyvegetables.com,Entertainment & Publishing,@sneakyveg,"Bank of Ireland, IVCA, NDRC"
Snowglobe,http://www.snowglobegames.com,Entertainment & Publishing,,"AIB, Bank of Ireland, IVCA"
So Sell It,http://sosellit.ie/,eCommerce,@sosellitnow,"Bank of Ireland, IVCA, GEC"
Soap Box Labs,http://soapboxlabs.com/,EdTech,,"Dublin BIC, Web Summit"
Soar by Luminosity,www.soarsol.com,Enterprise,,Accenture
SocialColleague,http://socialcolleague.com,Social Media,@scolleague,"Bank of Ireland, IVCA, NDRC"
SocialHoney,http://www.socialhoney.co,Entertainment & Publishing,@socialhoneyco,"Dublin BIC, Accenture"
SocialTalent,http://www.socialtalent.co/,HR & Recruitment,,The Hive @ Liffey Trust
Socowave,http://www.socowave.com/,Telecommunications & Networking,,Accenture
Softco,http://www.softco.com/,Enterprise,,AIB
SoftPotential,http://softpotential.com/,Enterprise,@SoftPotential,Digital Hub
Solar Adtek,http://solaradtek.com/,Environment (green/clean),,Dublin BIC
Solgari,http://www.solgari.com,Enterprise,@solgaritweets,"Bank of Ireland, IVCA, Accenture"
Solovisor,http://www.solovisor.com,Telecommunications & Networking,@bengii,"Bank of Ireland, IVCA"
Sonex Metrology,http://www.sonex-metrology.com/,Environment (green/clean),,"Invent DCU, Accenture"
Sonitus Systems,http://www.sonitussystems.com/,Environment (green/clean),@sonitussystems,"Dublin BIC, LEO, Trinity Research & Innovation"
Sool Nua,http://soolnua.com,Advertising & Marketing,,IADT Media Cube
Soosokan,http://www.soosokan.com,Entertainment & Publishing,,Trinity Research & Innovation
Soundwave,http://www.soundwave.com,Entertainment & Publishing,@Soundwave,"AIB, NDRC, Trinity Research & Innovation"
